strategy,instances,avg_time
GAIN_RATIO_MR,42,0.000998973846435
GAIN_RATIO_MR,1209,25.153714656829834
GAIN_RATIO_MR,1207,26.039435386657715
GAIN_RATIO_MR,1173,24.68150281906128
GAIN_RATIO_MR,880,19.926904439926147
GAIN_RATIO_MR,869,23.331297636032104
GAIN_RATIO_MR,835,23.732997179031372
GAIN_RATIO_MR,789,21.263469219207764
GAIN_RATIO_MR,739,18.49872899055481
GAIN_RATIO_MR,712,17.297175645828247
GAIN_RATIO_MR,421,13.823581218719482
GAIN_RATIO_MR,418,13.517518997192383
GAIN_RATIO_MR,401,13.292510628700256
GAIN_RATIO_MR,396,12.604418277740479
GAIN_RATIO_MR,367,12.531030893325806
GAIN_RATIO_MR,334,11.171081304550171
GAIN_RATIO_MR,331,11.949758768081665
GAIN_RATIO_MR,312,10.481103897094727
GAIN_RATIO_MR,254,5.904698371887207
GAIN_RATIO_MR,253,5.8068625926971436
GAIN_RATIO_MR,252,5.993080139160156
GAIN_RATIO_MR,248,5.602697730064392
GAIN_RATIO_MR,239,5.718345642089844
GAIN_RATIO_MR,231,7.284451007843018
GAIN_RATIO_MR,212,5.599045753479004
GAIN_RATIO_MR,210,5.5362443923950195
GAIN_RATIO_MR,205,5.837554693222046
GAIN_RATIO_MR,204,5.550906419754028
GAIN_RATIO_MR,202,5.7578522364298514
GAIN_RATIO_MR,192,5.541675329208374
GAIN_RATIO_MR,191,5.7493438720703125
GAIN_RATIO_MR,189,5.486628532409668
GAIN_RATIO_MR,187,5.474905967712402
GAIN_RATIO_MR,185,5.583553314208984
GAIN_RATIO_MR,149,5.168140172958374
GAIN_RATIO_MR,203,5.883212924003601
GAIN_RATIO_MR,201,5.879763126373291
GAIN_RATIO_MR,197,5.877230882644653
GAIN_RATIO_MR,196,5.83589780330658
GAIN_RATIO_MR,193,6.064047455787659
GAIN_RATIO_MR,188,6.57773745059967
GAIN_RATIO_MR,36,5.180724859237671
GAIN_RATIO_MR,33,5.059114456176758
GAIN_RATIO_MR,30,4.983335971832275
GAIN_RATIO_MR,20,5.142269730567932
GAIN_RATIO_MR,18,4.716431498527527
GAIN_RATIO_MR,180,5.787922382354736
GAIN_RATIO_MR,161,5.692178726196289
GAIN_RATIO_MR,159,5.58892297744751
GAIN_RATIO_MR,154,5.614380836486816
GAIN_RATIO_MR,153,5.6566832065582275
GAIN_RATIO_MR,151,5.554358243942261
GAIN_RATIO_MR,141,5.649182558059692
GAIN_RATIO_MR,45,5.481862545013428
GAIN_RATIO_MR,35,5.515722274780273
GAIN_RATIO_MR,27,5.587684869766235
GAIN_RATIO_MR,15,4.795163869857788
GAIN_RATIO_MR,14,4.57207441329956
